Run,RunStart,Character,CharacterInTime,CharacterOutTime
1,7:00 PM,Alquist,7:08 PM,7:15 PM
2,7:15 PM,Domin,7:15 PM,7:25 PM
3,7:30 PM,Alquist,7:38 PM,7:45 PM
4,7:45 PM,Domin,7:45 PM,7:55 PM
6,8:15 PM,Alquist,8:23 PM,8:30 PM
Intermission,8:30 PM,,,
8,8:55 PM,Domin,8:55 PM,9:05 PM
8,8:55 PM,Alquist,9:03 PM,9:10 PM
10,9:25 PM,Domin,9:25 PM,9:35 PM
10,9:25 PM,Alquist,9:33 PM,9:40 PM
Intermission,10:10 PM,,,
13,10:20 PM,Domin,10:20 PM,10:30 PM
14,10:35 PM,Alquist,10:43 PM,10:50 PM
15,10:50 PM,Domin,10:50 PM,11:00 PM
16,11:05 PM,Alquist,11:13 PM,11:20 PM
Intermission,11:50 PM,,,
19,12:00 AM,Domin,12:00 AM,12:10 AM
20,12:15 AM,Alquist,12:23 AM,12:30 AM
21,12:30 AM,Domin,12:30 AM,12:40 AM
22,12:45 AM,Alquist,12:53 AM,1:00 AM
24,1:15 AM,Domin,1:15 AM,1:25 AM
