Run,Time,Domin,DominPerformer,Alquist,AlquistPerformer,DominVoice,AlquistVoice
Day 1,,,,,,,
1,7:40 PM,Shirt,Moose,Muppet,Luca,Moose,Luca
2,8:00 PM ,Muppet,Luca,Robot,Moose,Luca,Moose
3,8:20 PM,Robot,Moose,Shirt,Luca,Moose,Luca
4,8:40 PM,Shirt,Luca,Robot,Moose,Luca,Moose
Intermission, 9:00 PM,,,,,,
5,9:20 PM,Muppet,Moose,Shirt,Luca,Moose,Luca
6,9:40,Robot,Luca,Muppet,Moose,Luca,Moose
Show End, 10:00 PM,,,,,,
Day 2,,,,,,,,
1,7:40 PM ,Shirt,Luca,Muppet,Moose,Luca,Moose
2,8:00 PM ,Muppet,Moose,Robot,Luca,Moose,Luca
3,8:20 PM,Robot,Luca,Shirt,Moose,Luca,Moose
4,8:40 PM,Shirt,Moose,Robot,Luca,Moose,Luca
Intermission, 9:00 PM,,,,,,
5,9:20 PM,Muppet,Luca,Shirt,Moose,Luca,Moose
6,9:40 PM,Robot,Moose,Muppet,Luca,Moose,Luca
Show End, 10:00 PM,,,,,,
