qlab q,qlab name,eos q number,eos name
1,Preshow,001,General Preshow
10,Blackout,002,General Blackout
20.1,Domin Base - Shirt,101,Shirt Base
20.2,Domin Base - Muppet,201,Muppet Base
20.3,Domin Base - Animatronic,301,Animatronic Base
20.4,Domin Base - Robot,401,Robot Base
30.1,Domin Bump - Shirt,102,Shirt Bump
30.2,Domin Bump - Muppet,202,Muppet Bump
30.3,Domin Bump - Animatronic,302,Animatronic Bump
30.4,Domin Bump - Robot,402,Robot Bump
40.52,Alquist + Domin Base - Shirt+Muppet,521,Shirt+Muppet
40.53,Alquist + Domin Base - Shirt+Animatronic,531,Shirt+Animatronic
40.54,Alquist + Domin Base - Shirt+Robot,541,Shirt+Robot
40.61,Alquist + Domin Base - Muppet+Shirt,611,Muppet+Shirt
40.63,Alquist + Domin Base - Muppet+Animatronic,631,Muppet+Animatronic
40.64,Alquist + Domin Base - Muppet+Robot,641,Muppet+Robot
40.71,Alquist + Domin Base - Animatronic+Shirt,711,Animatronic+Shirt
40.72,Alquist + Domin Base - Animatronic+Muppet,721,Animatronic+Muppet
40.74,Alquist + Domin Base - Animatronic+Robot,741,Animatronic+Robot
40.81,Alquist + Domin Base - Robot+Shirt,811,Robot+Shirt
40.82,Alquist + Domin Base - Robot+Muppet,821,Robot+Muppet
40.83,Alquist + Domin Base - Robot+Animatronic,831,Robot+Animatronic
50.1,Alquist Base - Shirt,101,Shirt Base
50.2,Alquist Base - Muppet,201,Muppet Base
50.3,Alquist Base - Animatronic,301,Animatronic Base
50.4,Alquist Base - Robot,401,Robot Base
60.1,Believer Look (Alquist) - Shirt,103,Shirt Believe
60.2,Believer Look (Alquist) - Muppet,203,Muppet Believe
60.3,Believer Look (Alquist) - Animatronic,303,Animatronic Believe
60.4,Believer Look (Alquist) - Robot,403,Robot Believe
70.52,Alquist + Domin Base - Shirt+Muppet,521,Shirt+Muppet
70.53,Alquist + Domin Base - Shirt+Animatronic,531,Shirt+Animatronic
70.54,Alquist + Domin Base - Shirt+Robot,541,Shirt+Robot
70.61,Alquist + Domin Base - Muppet+Shirt,611,Muppet+Shirt
70.63,Alquist + Domin Base - Muppet+Animatronic,631,Muppet+Animatronic
70.64,Alquist + Domin Base - Muppet+Robot,641,Muppet+Robot
70.71,Alquist + Domin Base - Animatronic+Shirt,711,Animatronic+Shirt
70.72,Alquist + Domin Base - Animatronic+Muppet,721,Animatronic+Muppet
